Change Id,Date & Time,System,Originator,Responsible,CR Reference,I2 Reference,Topic,Status,Baseline System,Baseline Subsystem,Baseline Number,Item System,Item Subsystem,Path,File Name
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.9,CUA,ADR,sources/java/test/src/eurocontrol/cfmu/xs/mapper,XmlComplexTypeDefinitionMapperTestBase.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.28,CUA,ADR,sources/java/local/src/eurocontrol/cfmu/domain/iemap/env/rt,undef
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CHMI,CHMI_CONFIG,16.0.8.0.0.13,CUA,BACKEND,sources/java,undef
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.21,CUA,ADR,sources/java/test/src/eurocontrol/cfmu/aixm51/iemap,DesignatedPointMapperTest.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CHMI,CHMI_CONFIG,16.0.8.0.2.1,CUA,BACKEND,sources/java/node_private/src/eurocontrol/cfmu/cua/domain/corba/env/airspace,AirspaceResultSetDecoder.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CHMI,CHMI_CONFIG,16.0.8.0.2.2,CUA,BACKEND,sources/java/node_private/src/eurocontrol/cfmu/cua/domain/corba/env/airspace,NasAirspaceStateCoder.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.9,CUA,ADR,sources/java/test/src/eurocontrol/cfmu/adr,AdrComplexTypeDefinitionMapperTestBase.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.21,CUA,BACKEND,sources/java/node_private/src/eurocontrol/cfmu/cua/domain/corba/env/airspace,UirAirspaceStateCoder.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.9,CUA,BACKEND,sources/java/node_private/src/eurocontrol/cfmu/cua/domain/corba/env/route,RouteCoder.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.116,CUA,ADR,sources/java/test/src/eurocontrol/cfmu/xs/mapper,XmlComplexTypeDefinitionMapperTestBase.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.9,CUA,BACKEND,sources/java/node_private/src/eurocontrol/cfmu/cua/domain/corba/env/airblock,AirblockStateDecoder.java
