Change Id,Date & Time,System,Originator,Responsible,CR Reference,I2 Reference,Topic,Status,Baseline System,Baseline Subsystem,Baseline Number,Item System,Item Subsystem,Path,File Name
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.52,ELD,GEO_ENV,sources,dom_version.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.46,ELD,GEO_ENV,sources,def_dom_otmv_perm.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CFMUTEST,CFMUTEST_CONFIG,16.0.36,ELD,GEO_ENV,sources,def_dom_rer_sources.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FLIGHT_CONFIG,16.0.70,ELD,GEO_ENV,sources,env_compile_traffic_volume_has_hotspot.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.50,ELD,GEO_ENV,sources,env_data_agent.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,RPL,RPL_CONFIG,16.0.47,ELD,ELD_CONFIG,sources/test/mini/cache.text,TRAFFIC_VOLUME_HAS_OTMV
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FLIGHT_CONFIG,16.0.50,ELD,GEO_ENV,sources/dbt,env_traffic_volume_has_hotspot.dbt
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.62,ELD,ELD_CONFIG,sources/test/mini/db_debug,TRAFFIC_VOLUME_HAS_HOTSPOT
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.56,ELD,ELD_CONFIG,sources/test/mini/cache.text,DOM_RER_SOURCES_INFO
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CFMUTEST,CFMUTEST_CONFIG,16.0.27,ELD,ELD_CONFIG,sources/test/mini/db_debug,undef
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.52,ELD,ELD_CONFIG,sources/test/mini/db_debug,DOM_OTMV_PERM_INFO
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.52,ELD,GEO_ENV,sources,def_traffic_volume_has_otmv.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.46,ELD,GEO_ENV,sources,env_traffic_volume_has_otmv.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,RPL,RPL_CONFIG,16.0.58,ELD,GEO_ENV,sources,env_compile_traffic_volume_has_hotspot.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,RPL,RPL_CONFIG,16.0.47,ELD,ELD_CONFIG,sources/test/mini/cache.text,undef
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.70,ELD,ELD_CONFIG,sources/test/mini/db_debug,TRAFFIC_VOLUME_HAS_OTMV
